"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"PSD2_9118.7",0.00758161589274011,2244.93606992593,1457.02409468889,0.62364962593286,1.3222857740421,1.3222857740421
"Enoyl.CoA.hydratase_17787.1",0.00778739918448933,10699.1033747074,16521.8363784074,-0.626884150757189,-1.32185266120072,1.32185266120072
"LDOC1_8378.3",0.178363646432403,2736.86370398519,805.5701852,1.76444139602964,1.32102608241081,1.32102608241081
"VP26A_19293.6",0.00105454628310173,22832.7193424815,31047.1888477778,-0.443359953655001,-1.31985347753657,1.31985347753657
"TPP2_25050.82",0.00653635253410703,1266.83644033333,1924.9861521963,-0.603617795554975,-1.31870238909935,1.31870238909935
"DUS4_10035.6",0.000142644985436585,559.327263351852,441.031604937037,0.342810608467724,1.31836166615794,1.31836166615794
"COX6C_8903.1",0.00152525629710143,5639.98246911111,4079.66456788889,0.46724014032094,1.31605529289993,1.31605529289993
"CC167_7797.11",0.00553720525554213,893.159938255556,596.296563781481,0.582888518939568,1.3154099867701,1.3154099867701
"PDLI4_12387.7",0.318754978438331,453.912736633333,2845.33211922222,-2.64811018436244,-1.31490063757361,1.31490063757361
"TSR3_7018.10",0.00022539380577363,623.400226340741,485.584403296296,0.36043659500189,1.31453317569901,1.31453317569901
"CKAP4_7221.56",6.45942419572192e-05,449.046563792593,361.28903292963,0.313711590832818,1.31439076641442,1.31439076641442
"ASB.13_21234.7",0.00481598689027225,6552.43189292593,4423.24827159259,0.566924231775368,1.31374185832051,1.31374185832051
"DYLT3_12867.40",0.000117561984473885,2246.47831277778,1782.20909466667,0.333998525785565,1.31252505930671,1.31252505930671
"SARP.3_23296.29",0.0226236041581319,1692.01532915556,973.637901222222,0.797285404235919,1.31188386569691,1.31188386569691
"FKBP6_12529.32",0.00334398288886193,2745.96092588889,1903.591358,0.52858728653885,1.30864254985215,1.30864254985215
"ZBT7A_25124.21",0.000187863169739359,627.18971192963,491.746131688889,0.350988190865325,1.30783757964024,1.30783757964024
"LPLC1_11246.3",0.010224509357163,24997.5057207778,15858.1529634815,0.656559401606785,1.30678794446857,1.30678794446857
"NEC1_13388.57",0.000502847468168923,1954.84831274074,1485.51551437037,0.396092992944749,1.3065379811052,1.3065379811052
"sICAM.2_14756.29",0.00301320352663011,8649.64670788889,6039.32008233333,0.51825507007132,1.30650627845383,1.30650627845383
