"Protein","Active_mean","Inactive_mean","Healthy_control_mean","Active/Healthy_control","Inactive/Healthy_control","Active/Inactive","log(Active_and_Healthy_control)","log(Inactive_and_Healthy_control)","log(Active_and_Inactive)"
"CRBB2_10000.28",611.632555555555,641.971962962963,501.407740740741,1.21983070036369,1.28033915474572,0.952740292165753,0.286680930825503,0.356526022770597,-0.0698450919450948
"c.Raf_10001.7",345.388277777778,336.792962962963,645.160907407407,0.53535214829697,0.52202940242671,1.02552106415525,-0.901439903424333,-0.937797028435879,0.0363571250115466
"ZNF41_10003.15",164.905185185185,179.671425925926,160.805388888889,1.02549539119693,1.11732216915985,0.917815308334957,0.0363210080417754,0.16004523312083,-0.123724225079054
"ELK1_10006.25",859.616648148148,1705.06735185185,681.915666666667,1.26059084747256,2.50040794661097,0.504154071811022,0.334100093186743,1.32216349270297,-0.988063399516231
"GUC1A_10008.43",571.417388888889,518.005851851852,462.075611111111,1.2366317874143,1.12104131747237,1.10310991052725,0.306415995423533,0.164839451572426,0.141576543851108
"BECN1_10010.10",347.844592592593,372.786259259259,297.285037037037,1.17007097316256,1.25396913001315,0.933093921658414,0.226596042222502,0.326501832569673,-0.0999057903471703
"OCRL_10011.65",3521.57987037037,3522.79822222222,2410.14088888889,1.46115104166955,1.46165655230483,0.999654152246312,0.547105319691393,0.5476043588313,-0.000499039139906672
"SPDEF_10012.5",1666.08355555556,1676.953,1250.63648148148,1.33218851378935,1.34087964395018,0.993518336861889,0.413798248073938,0.423179748153106,-0.00938150007916809
"SLUG_10014.31",941.21537037037,1003.48105555556,822.420092592593,1.14444598186225,1.22015629797199,0.937950313221695,0.194649368932374,0.287065964071922,-0.0924165951395481
"KCAB2_10015.119",652.969111111111,722.989518518518,711.809888888889,0.917336386166781,1.01570592064558,0.903151559443231,-0.12447722948164,0.0224827562048341,-0.146959985686474
"POLH_10022.207",216.167037037037,197.142111111111,164.89587037037,1.31093056819135,1.19555517471913,1.09650361264115,0.390591277032871,0.257680711778418,0.132910565254453
"VDR_10023.32",596.388888888889,618.127611111111,600.449092592592,0.993238055059468,1.02944216043726,0.964831336068056,-0.00978855669741379,0.0418627739289083,-0.051651330626322
"HOGA1_10024.44",1061.35801851852,1119.81372222222,707.743351851852,1.49963686093471,1.5822313544764,0.947798725320403,0.584613192484525,0.661960566657936,-0.0773473741734109
"DLDH_10025.1",1360.33392592593,1357.125,1594.69781481482,0.853035548985119,0.851023301964953,1.00236450284677,-0.229322229925409,-0.232729459839775,0.00340722991436613
"MutY.homolog_10030.8",184.99312962963,181.556185185185,157.095648148148,1.17758277718281,1.15570473991724,1.01893047290534,0.235828476427185,0.208772864390408,0.0270556120367768
"DUS4_10035.6",543.268592592593,550.981296296296,440.510555555555,1.2332703172287,1.25077887316779,0.986001877458367,0.302489054876416,0.32282675610451,-0.0203377012280939
"ZHX3_10036.201",2729.08031481481,2962.81998148148,1910.27996296296,1.42862845641842,1.55098731019822,0.92110905551886,0.514630763334707,0.633186882641579,-0.118556119306871
"SIG12.Ig.like.V.type.2_10037.98",320.353611111111,317.854833333333,216.878148148148,1.47711336456211,1.46559178989397,1.00786138046596,0.562780553398149,0.551483326729511,0.0112972266686382
"PNP_10039.32",3498.59033333333,3536.39592592593,6781.69474074074,0.515887321249614,0.52146197390472,0.989309570143028,-0.954872104483376,-0.939366042639523,-0.0155060618438531
"P73L_10040.63",486.220537037037,513.68762962963,502.048,0.968474203735573,1.02318429638128,0.946529581387045,-0.046214473150627,0.0330660273201619,-0.0792805004707891
"HNF4A_10041.3",20709.7098518519,21923.506962963,15135.469,1.36828993220176,1.44848547230105,0.944634902018109,0.452373960801786,0.53454521505752,-0.0821712542557333
"SGK3_10042.8",886.624851851852,860.419962962963,863.27062962963,1.02705318751808,0.996697829662189,1.03045592851966,0.0385108957570442,-0.00477190794033749,0.0432828036973817
"BRD4_10043.31",610.330481481482,589.687666666667,623.58212962963,0.978749153449894,0.945645551159245,1.03500635333193,-0.0309889403142522,-0.0806285639734781,0.0496396236592259
"WN10A_10044.12",856.885722222222,924.558925925926,667.180796296296,1.28433810891895,1.38576969100191,0.926804877649166,0.361025049694323,0.470687507649403,-0.10966245795508
"CUL3_10045.47",794.050148148149,777.302574074075,1269.0947962963,0.625682297701866,0.6124858255999,1.02154575918396,-0.676497808141164,-0.70725163783069,0.0307538296895261
"cIAP.1_10046.55",1612.88505555555,1382.08551851852,1330.08261111111,1.21262021026513,1.03909750189424,1.1669936729273,0.278127772583857,0.05533103335621,0.222796739227647
"NCF.2_10047.12",1994.75596296296,5744.10877777778,422.634462962963,4.71981378181592,13.5911982603301,0.347269879477226,2.23872993980947,3.76460075099471,-1.52587081118523
"PEBB_10048.7",1444.19577777778,1465.11444444445,1336.18414814815,1.08083588611594,1.09649141286026,0.985722162015405,0.112147481202968,0.132894513632638,-0.0207470324296704
"TERF1_10049.112",558.90887037037,520.818574074074,455.464555555556,1.22711825443505,1.14348870339384,1.07313544138477,0.295274284751713,0.193442113333156,0.101832171418557
"ILK1_10053.5",9447.2807962963,9076.17098148147,20363.169,0.463939615503672,0.445715054541927,1.04088836752547,-1.10799105264338,-1.16580640441877,0.0578153517753958
"GAN_10054.3",323.746351851852,362.244037037037,313.782574074074,1.03175376391496,1.15444281157412,0.893724447474482,0.0450987014140514,0.20719670710774,-0.162098005693689
"FOXM1_10056.5",1503.44418518518,1090.93848148148,1778.21311111111,0.845480317173999,0.613502664368396,1.37812004132765,-0.242156925877171,-0.704858485534267,0.462701559657096
"RD23A_10058.1",15737.6061481482,15183.834037037,17211.7485555556,0.914352548048839,0.882178471758817,1.03647116464526,-0.129177560616448,-0.180857540834199,0.0516799802177509
"FANCL_10063.10",416.187574074074,417.28737037037,390.602574074074,1.06550136045736,1.06831700062283,0.997364415090444,0.0915324351889777,0.0953397999912808,-0.00380736480230324
"RBBP9_10064.12",1365.33564814815,1563.41251851852,1191.23807407408,1.14614842982533,1.31242658587262,0.873304794464568,0.196793889737476,0.392236723990388,-0.195442834252912
"PIN1_10069.2",616.202314814815,577.068962962963,578.943259259259,1.06435700728812,0.996762556146358,1.06781399514353,0.0899821416801106,-0.00467822102443733,0.0946603627045477
"PLCG2_10070.22",3109.62788888889,2485.372,2208.61037037037,1.40795675443986,1.12531030069519,1.25117201323942,0.493603022104966,0.170322874817231,0.323280147287735
"TYDP1_10073.22",882.901777777778,880.830185185186,939.384814814815,0.939872312021382,0.937667046873467,1.00235186376152,-0.08946332461451,-0.0928523630820306,0.00338903846752064
"BRD2_10074.128",920.64762962963,905.407759259259,715.157203703704,1.28733602187284,1.26602620314845,1.01683205187333,0.364388676569915,0.340307264767128,0.0240814118027876
"ACBD6_10075.75",638.716648148148,644.93537037037,1428.3442962963,0.4471727508587,0.451526548635851,0.990357604020615,-1.16109581681085,-1.14711727781413,-0.0139785389967165
"AP4M1_10076.1",1323.97892592593,1229.00911111111,1954.49712962963,0.677401315077303,0.628810906130113,1.07727348313061,-0.561917307267483,-0.66930185489361,0.107384547626127
"BAG3_10078.5",887.676740740741,778.369425925926,601.916907407407,1.47474963706231,1.29315095879021,1.14043115155093,0.56047005411754,0.370890701123085,0.189579352994455
"EI2BA_10080.9",2402.51014814815,2416.57951851852,3141.08462962963,0.764866417633399,0.769345561632786,0.994177981621314,-0.386720288841319,-0.378296345758417,-0.00842394308290208
"SATB2_10081.17",604.478703703704,641.418351851852,543.471,1.11225567455063,1.18022553522056,0.94240943053547,0.153488458931919,0.239062577767756,-0.085574118835837
"NFL_10082.251",691.952166666667,653.68762962963,530.113462962963,1.30529068776925,1.23310890083035,1.05853642520162,0.384371130245339,0.30230021559651,0.0820709146488289
"STAR_10085.25",1292.45731481481,1404.57994444445,1119.97172222222,1.15400888180494,1.25412090017551,0.920173550766468,0.206654327697975,0.326676434006004,-0.120022106308029
