"Protein","Nominal_pvalue","Inactive_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"SAA_15515.2",3.20917593962538e-10,79331.1740697778,6612.63123466667,3.58459154602351,34.0307015026804,34.0307015026804
"Cysteine.rich.protein.1_15529.33",2.34337096580752e-17,27848.561481037,93994.6085514815,-1.75497520043911,-29.1855165458361,29.1855165458361
"CX038_24707.6",1.38223023951264e-11,308.585637877778,1834.02137858519,-2.57126763305256,-27.9224741570775,27.9224741570775
"MBNL1_24408.30",8.3354606183113e-13,3664.38709872963,17532.7368717778,-2.25840739922569,-27.2794619581403,27.2794619581403
"NEK7_12703.6",2.87275663530609e-14,12017.824115963,41767.6981903704,-1.79721192613645,-24.3373068313494,24.3373068313494
"MBNL2_24446.65",1.1409123441156e-10,933.188086472222,4596.81465026296,-2.30039470151308,-22.8722441758436,22.8722441758436
"CRP_4337.49",5.63443692010844e-11,60329.512015963,14941.8546911481,2.01350467597036,20.6367104003964,20.6367104003964
"PKHF2_20994.37",1.55149476474178e-12,3787.75751015556,12491.0688885926,-1.72148105840747,-20.3293996476461,20.3293996476461
"X6.Phosphogluconate.dehydrogenase_4187.49",1.49333252078291e-10,5442.79633744444,19261.5088885556,-1.82330076562802,-17.9154679346086,17.9154679346086
"SAA2_18832.65",3.80994836497907e-05,18624.7394240741,1194.15746916296,3.96315524402663,17.5135036827984,17.5135036827984
"IL.1F6_14150.7",1.92270552810585e-09,6623.1650617037,1718.49275722222,1.946377042022,16.9647920710477,16.9647920710477
"PP1G_19295.32",2.60471688449414e-11,21039.4756791852,60823.1006996296,-1.53152061341845,-16.2099809329191,16.2099809329191
"Glutathione.peroxidase_15591.28",5.82604701939443e-12,3396.11049396296,8831.12962981482,-1.37871459296036,-15.4893428329184,15.4893428329184
"PYRG1_23705.42",2.25141763835796e-13,11149.0908231111,26055.4709051852,-1.22466026185697,-15.4889444682957,15.4889444682957
"UBS3B_12558.3",1.70182919618527e-09,21922.021687563,74113.5816440741,-1.75735709473434,-15.4104120343725,15.4104120343725
"HSP.60_2682.68",1.0655160726868e-10,12574.7765845185,36093.3680655556,-1.52120100715923,-15.1700857639583,15.1700857639583
"KS6A6_12688.115",1.95371907324995e-12,1396.56551437407,3348.50100818519,-1.26163214886014,-14.7726247894636,14.7726247894636
"KLC1_12656.1",8.02834373761796e-08,1262.04652262963,5003.67771604815,-1.98722377620406,-14.1000959958281,14.1000959958281
"WWP1_11307.33",8.02587394690187e-10,3305.65022633704,9387.15823037037,-1.50575439772277,-13.6956006668607,13.6956006668607
"TXN4A_21651.9",8.79705913462184e-09,25226.980947,7789.84835403704,1.69530041276574,13.6567679421147,13.6567679421147
"GLRX3_16596.25",3.448293589537e-11,5956.47360084815,14579.2084365926,-1.29138201944886,-13.5109497715522,13.5109497715522
"OSBL1_25266.14",4.44706284336838e-09,712.666049411111,2180.61039097407,-1.61343392431074,-13.4752819248713,13.4752819248713
"I5P2_12641.3",1.26415858718978e-08,4258.96648139259,13290.2571602593,-1.64179373950609,-12.9672127536633,12.9672127536633
"CIAO1_21178.8",6.1469353703775e-10,2389.9662963,6297.15798348148,-1.39771058900056,-12.8747893480985,12.8747893480985
"DEST_18883.4",9.81235713382041e-12,2732.09553501111,6142.04312751852,-1.16871071031364,-12.8654323914486,12.8654323914486
"SRCN1_5488.74",5.51626273199484e-09,47477.2104461852,137339.681471481,-1.53244144661013,-12.6554455704077,12.6554455704077
"RPS6KA3_3469.74",1.46785846369315e-09,1942.91286007037,5081.16845685185,-1.38693909755744,-12.2512710699874,12.2512710699874
"RNF31_23183.6",8.6221670437708e-10,1359.21022634074,3465.549033,-1.35031531871014,-12.2397759858392,12.2397759858392
"LYNB_3381.24",3.90666554812315e-09,20027.9142386667,54273.2639088889,-1.43822948990678,-12.0929122331011,12.0929122331011
"FAH2A_23389.28",2.22290615845e-09,848.5129629,2230.95438265556,-1.39465240905261,-12.0680372931089,12.0680372931089
"HGS_13644.30",2.2624342032846e-08,3796.45372440741,11321.0248564815,-1.57628023854415,-12.0513308330215,12.0513308330215
"SMAD2_10364.6",4.9322679039269e-09,3166.522428,8478.54925977778,-1.42091813266546,-11.8035006309169,11.8035006309169
"ARL8A_23281.29",5.12968399636961e-08,13580.1518109519,40689.4388059259,-1.58315477531534,-11.5410548590421,11.5410548590421
"KPCT_3817.18",1.36150380299183e-08,1602.65676954444,4415.42187240741,-1.46208580099061,-11.5007393374646,11.5007393374646
"SNX8_6925.26",8.78328486291958e-09,1096.33376547778,2946.63185188889,-1.42637974727372,-11.4914045376656,11.4914045376656
"AIP_3839.60",7.03900175129419e-10,1686.31024694074,3989.26777781481,-1.24225397955942,-11.3697157921223,11.3697157921223
"M2.PK_4240.31",1.93404354789429e-08,17445.1364197519,48436.6279837037,-1.4732735529701,-11.3641452758071,11.3641452758071
"SYMC_24425.8",8.33912803708951e-09,9896.76497978148,26193.8414804815,-1.40419873068341,-11.344352139922,11.344352139922
"LYN_3453.87",5.91444692180989e-08,6241.27178977778,18476.0853498519,-1.56574717234014,-11.3173549988483,11.3173549988483
"VAV_5275.28",1.11933100754133e-07,3728.26483539259,11279.7523870741,-1.5971591482163,-11.1019194659533,11.1019194659533
"KPRB_19150.20",5.07783239510623e-12,16884.803951037,33313.8016662963,-0.980394570875712,-11.0728916156771,11.0728916156771
"LANC2_12628.31",5.17380433478855e-11,5605.05283935185,11810.4392592963,-1.07526274448421,-11.0603568893085,11.0603568893085
"p60.Src_15433.4",6.45802737570553e-08,4821.63897117778,13615.420206037,-1.49764597252693,-10.7679249550909,10.7679249550909
"PRAF3_13503.19",3.59152258699571e-08,9341.81452722222,24742.1987661481,-1.40519900685262,-10.4613151147008,10.4613151147008
"AMPD2_18403.25",5.23830017274516e-07,1129.79839504444,3577.1288477963,-1.6627367286484,-10.4433328385268,10.4433328385268
"ERAB_4217.49",2.31040653324521e-07,4444.50374517407,12936.1392585556,-1.54131286690858,-10.2286324517815,10.2286324517815
"DCTD_17756.69",6.89940245230759e-09,2636.69185175185,6213.47069959259,-1.23667037500571,-10.0927000691007,10.0927000691007
"AGAP2_14291.53",1.98235284308552e-07,451.222654340741,1275.74273666667,-1.49942602044975,-10.0503812819359,10.0503812819359
"C3b_4480.59",0.000248655753326199,17505.4146917778,2554.51117286296,2.77668208777844,10.0082770481505,10.0082770481505
"Alpha.1.syntrophin_19274.80",4.97518295342014e-08,5857.73185173704,15103.4409052963,-1.36646320767456,-9.97954172390524,9.97954172390524
"AMPK.a2b2g1_5245.40",2.15555715619775e-07,2831.55569952222,7904.39975292593,-1.48106100150868,-9.87340497976748,9.87340497976748
"RAGP1_25036.10",3.76884120498355e-09,1136.2383333037,2554.14851848148,-1.16857693607288,-9.84384923311867,9.84384923311867
"PKC.B.II_5475.10",4.78767854642926e-09,35207.5590123333,79398.0951022222,-1.17321918836082,-9.76103701426185,9.76103701426185
"FAF2_9738.7",2.23525148374204e-07,5237.89790125926,14447.780699963,-1.4637880560986,-9.73517659264412,9.73517659264412
"FTMT_8048.9",1.28636021433474e-07,10303.1032094444,3902.42154322222,1.4006373979261,9.65128443886311,9.65128443886311
"iC3b_2683.1",3.05992081873524e-05,30752.297695963,7027.07711925926,2.12969757048214,9.61407204414832,9.61407204414832
"VPS25_18189.12",6.96975088602394e-09,1533.66701647037,3466.003251,-1.17628772292588,-9.59472340063376,9.59472340063376
"UBP4_21763.46",2.25671490808943e-07,1919.54956794074,5184.04174907407,-1.43330952190697,-9.52652513646748,9.52652513646748
"EF2K_12332.7",4.85137034578686e-08,4071.67736625926,1658.342428,1.29588131193211,9.47825159909642,9.47825159909642
"FER_4220.39",2.09803602680288e-06,740.817921859259,2346.62462965556,-1.66339617839769,-9.44507465335717,9.44507465335717
"C1TC_12575.30",2.04827823129e-10,9077.97069914815,17680.7331281481,-0.961736360210572,-9.31788952727476,9.31788952727476
"HSP.40_3852.19",5.23736408714016e-08,906.165905314815,2194.89851851481,-1.27630712278899,-9.29264823709465,9.29264823709465
"CHKB_13117.232",2.24786752330524e-07,6129.2136007037,2329.66652262963,1.39557852625161,9.27812603085234,9.27812603085234
"DECR_12687.2",1.26767866082079e-07,10564.4223246296,26636.8926335556,-1.33421191136039,-9.20204730486361,9.20204730486361
"ACADV_19262.219",3.95684558541755e-07,6698.51767467407,18103.0808232222,-1.43432145951872,-9.18345958023585,9.18345958023585
"MPIP1_11548.84",0.023844926564832,10780.6315841815,214.971255144444,5.64815412783084,9.1647175410046,9.1647175410046
"KS6B1_15608.5",7.79800344435948e-10,631.318024696296,1259.73512345926,-0.996681572206137,-9.07779228196401,9.07779228196401
"SYDC_12675.14",1.68066533364231e-08,36103.0557199259,80323.94251,-1.15370913200533,-8.96953328786785,8.96953328786785
"RCD1_8975.26",1.24700109384635e-06,1586.34275723333,4544.56827162593,-1.51843872233901,-8.96506442044166,8.96506442044166
"TTC9A_24474.12",7.70006232816291e-07,924.21495882963,2553.43709876296,-1.46614017474714,-8.96325640242803,8.96325640242803
"ZADH2_17345.12",5.27583717566326e-07,3732.11679027778,9981.52113207407,-1.41926555796651,-8.90973562197123,8.90973562197123
"GSH0_18214.2",8.84095942218436e-09,2303.1055554963,4955.26261325926,-1.10538098374485,-8.90218641883547,8.90218641883547
"TACO1_9257.14",5.11239543204159e-07,1665.54765437037,4423.95107,-1.40933879634307,-8.86667966170812,8.86667966170812
"ODPX_18319.7",2.37826001237649e-07,1659.32705761852,4195.018642,-1.3380789485743,-8.86308794627851,8.86308794627851
"GSTK1_13474.40",8.96216344690051e-08,5048.4179422963,12038.3318115185,-1.25373223081795,-8.83578714683092,8.83578714683092
"Histone.H2A.type.1_22468.54",3.04636453398317e-05,41405.0581285926,10708.0255549259,1.9511145340202,8.81165883099377,8.81165883099377
"HMHA1_13544.9",1.22118337128852e-07,20726.432469037,49797.4447740741,-1.26459990169582,-8.74245621711352,8.74245621711352
"FGL1_5581.28",2.38491063200982e-08,82121.2150162963,37105.1158848148,1.14613686005772,8.73646018190744,8.73646018190744
"GAPDH..liver_3848.14",1.18445963281702e-06,3483.55868314074,9605.84748940741,-1.46335103653633,-8.67252026430349,8.67252026430349
"STAT3_10346.5",1.33859119068333e-08,15499.4035401481,33216.3279014815,-1.09967989304678,-8.65816692644146,8.65816692644146
"S100A6_13090.17",3.81005288109063e-11,1372.70617286296,2441.37615225926,-0.830671743537662,-8.65482620940642,8.65482620940642
"PCDGK_7859.21",3.10909927497877e-07,3523.6831070037,1401.89995891111,1.32970078442828,8.65284889091873,8.65284889091873
"KC1G1_20130.144",1.40917463742334e-06,2449.98759258148,6826.23090533333,-1.47831477309067,-8.64967174732048,8.64967174732048
"DNJB9_11214.40",1.67872616811474e-07,20489.0401238148,8527.67983514815,1.26462721875195,8.56787487625988,8.56787487625988
"Pregnancy.zone.protein_6580.29",1.82348577506825e-06,35582.9515642593,12653.2584771148,1.49167722870513,8.56088123344121,8.56088123344121
"UB2Q1_21727.15",1.28245197716999e-07,2078.49314819259,4892.79440333333,-1.23512066948474,-8.51240087648468,8.51240087648468
"MP2K5_22041.26",3.09565592812171e-08,18878.3722634444,41380.8976948148,-1.13223056499658,-8.50219933095013,8.50219933095013
"HDHD2_13472.35",6.49474851548452e-08,2918.8170371,6622.91740733333,-1.18208308698091,-8.49614849741099,8.49614849741099
"M4K5_21989.12",6.24389454770354e-07,4386.81907405926,11333.0830248889,-1.36929327036446,-8.49584094776475,8.49584094776475
"MTDC_18321.38",3.66840700019701e-06,526.843641918519,1528.26125509259,-1.53644442850896,-8.35137824039946,8.35137824039946
"IZUM4_20549.1",4.13495542025741e-09,1260.45251037407,634.264629633333,0.990784967032927,8.30627467063151,8.30627467063151
"EHD3_25232.4",1.18282390915882e-07,18672.8299165926,42536.6083540741,-1.18776441658282,-8.22773902244986,8.22773902244986
"CSNK1G2_17436.193",6.5901181525442e-07,687.409032966667,1727.5265021,-1.32946712843987,-8.21757830662198,8.21757830662198
"HN1_19335.2",1.01427787510932e-06,4864.1823252963,1884.82053511111,1.36777014415186,8.19819956960653,8.19819956960653
"UN45A_13082.9",9.48777406961445e-07,4329.41047298519,11111.4911933333,-1.35980994885707,-8.18991185844212,8.18991185844212
"VSIG4_17678.28",8.53554285336312e-06,11941.0454729259,3907.98909459259,1.61143080771532,8.16797028676099,8.16797028676099
"LBP_3074.6",2.88038158475059e-09,60432.9347322222,31213.8084785185,0.953150608612975,8.14043040592515,8.14043040592515
"PKC.A_2644.11",1.94891025023581e-07,17258.2661325926,39999.0953911111,-1.21267984263463,-8.13733417579105,8.13733417579105
"BIN2_21540.73",6.9043766704604e-08,45236.3957178518,99149.3176644444,-1.13211885913418,-8.10696222814963,8.10696222814963
"DOK2_19578.19",2.11223171306194e-07,21469.5453081111,49666.6865018519,-1.20998686355489,-8.07697502464305,8.07697502464305
"METAP1_3210.1",4.17794774633352e-06,1520.19407405185,4299.65699584074,-1.49996605809433,-8.06837291930945,8.06837291930945
"RAB21_17514.48",9.63913459486203e-09,28388.0653089259,56783.413662963,-1.00018505204728,-8.01744532564007,8.01744532564007
"GRIA4_10760.107",6.87960140082518e-08,4455.24502062963,2054.55222222222,1.11668077525424,7.99815539338277,7.99815539338277
"OBF1_21839.3",1.629126449e-06,818.663806562963,2133.39938271111,-1.38181105070884,-7.99798482690311,7.99798482690311
"H2B2E_14143.8",0.000135827162161973,22628.4308642593,5414.43938281481,2.06325267407587,7.97862568238739,7.97862568238739
"SHLB2_18222.34",2.55708212229657e-08,4261.2549382963,8748.80794218519,-1.03780809145754,-7.87930400777291,7.87930400777291
"PDE5A_5256.86",2.91230930295496e-07,10434.8368310741,24050.2650621852,-1.2046447529406,-7.87327200509442,7.87327200509442
