"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"KS6B1_15608.5",1.14755715862816e-11,596.169320977778,1259.73512345926,-1.07932637834152,-11.8080741544129,11.8080741544129
"IL.1F6_14150.7",2.13716677606533e-06,7270.17006188889,1718.49275722222,2.08084534035392,11.798729315043,11.798729315043
"TACO1_9257.14",2.36554555925459e-08,1516.08290128148,4423.95107,-1.54498678508584,-11.7821753377547,11.7821753377547
"TR.ECD_8795.48",1.13512335930469e-08,10433.0800411852,3750.9347737037,1.47584305060231,11.7255094858166,11.7255094858166
"LYNB_3381.24",3.5575929266317e-09,20866.6459672222,54273.2639088889,-1.37904294740164,-11.6513183830572,11.6513183830572
"DEST_22958.6",1.1415079672819e-08,3295.39374481852,9008.76592525926,-1.45087863693422,-11.5236341191349,11.5236341191349
"ERAB_4217.49",6.52756525301887e-08,4269.33602835185,12936.1392585556,-1.59932349178605,-11.4915371650533,11.4915371650533
"UB2Q1_21727.15",6.68610690588932e-09,1851.14679010741,4892.79440333333,-1.40223936065737,-11.463063742354,11.463063742354
"HDHD2_13472.35",8.37028699910084e-10,2760.77331270741,6622.91740733333,-1.26239443387476,-11.4590820579171,11.4590820579171
"SYMC_24425.8",5.62550787439273e-09,10029.7187656815,26193.8414804815,-1.38494650169013,-11.4255846419445,11.4255846419445
"ACADV_19262.219",4.77035121404526e-08,6139.75596713333,18103.0808232222,-1.55998201931527,-11.4213298017256,11.4213298017256
"DUS28_9940.35",2.05908139163937e-08,1359.90454738148,3793.0562962963,-1.4798553928874,-11.3746517020866,11.3746517020866
"GSTK1_13474.40",4.77794426751187e-09,4673.29592588889,12038.3318115185,-1.36512318667437,-11.3588609329641,11.3588609329641
"ODPX_18319.7",2.12260432562172e-08,1528.86625512963,4195.018642,-1.45621501620174,-11.173728518046,11.173728518046
"GCNL2_19797.4",2.01646546508291e-09,1180.31195472963,2867.48146096296,-1.28061594667897,-11.1354796991719,11.1354796991719
"ZADH2_17345.12",7.13310437239136e-08,3427.49555533333,9981.52113207407,-1.54210489639701,-11.0209940969517,11.0209940969517
"CACP_12637.7",7.28355628642114e-08,1563.84257202222,4547.0245678037,-1.53982751147279,-10.990759875786,10.990759875786
"HSP.40_3852.19",5.24697019314799e-09,877.278045259259,2194.89851851481,-1.32304816879865,-10.9549597681233,10.9549597681233
"MTDC_18321.38",4.52811669115824e-07,467.064588455556,1528.26125509259,-1.71019721881835,-10.8496320589121,10.8496320589121
"UBP4_21763.46",5.61722499959482e-08,1840.37495885926,5184.04174907407,-1.4940776052497,-10.8327770760636,10.8327770760636
"SNX8_6925.26",1.26789585303217e-08,1143.07222225556,2946.63185188889,-1.36615026376514,-10.7883744482343,10.7883744482343
"KPCT_3817.18",2.34457818683852e-08,1660.86732502222,4415.42187240741,-1.41061445588848,-10.762897003264,10.762897003264
"PRAF3_13503.19",2.38823002100402e-08,9328.82962996296,24742.1987661481,-1.40720571318208,-10.7256147825211,10.7256147825211
"EIF1B_12701.1",7.09083439758203e-09,6382.41493757037,15866.263828,-1.3137881335994,-10.7064571281506,10.7064571281506
"VAV_5275.28",9.47518410773567e-08,3970.96495879259,11279.7523870741,-1.50617386289123,-10.5784800988992,10.5784800988992
"AMPD2_18403.25",4.41325881017339e-07,1134.97080242593,3577.1288477963,-1.65614690089784,-10.5252120293446,10.5252120293446
