N_Proteins_included,true positives,true negatives,false positives,false negative,total number of samples,Accuracy,Specificity,Sensitivity,PPV,NPV
10,29.0,30.0,0.0,1.0,60.0,0.9833333333333333,1.0,0.9666666666666667,1.0,0.967741935483871
25,28.0,30.0,0.0,2.0,60.0,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9375
50,29.0,30.0,0.0,1.0,60.0,0.9833333333333333,1.0,0.9666666666666667,1.0,0.967741935483871
100,30.0,30.0,0.0,0.0,60.0,1.0,1.0,1.0,1.0,1.0
150,29.0,30.0,0.0,1.0,60.0,0.9833333333333333,1.0,0.9666666666666667,1.0,0.967741935483871
200,30.0,30.0,0.0,0.0,60.0,1.0,1.0,1.0,1.0,1.0
250,30.0,30.0,0.0,0.0,60.0,1.0,1.0,1.0,1.0,1.0
7289,29.0,30.0,0.0,1.0,60.0,0.9833333333333333,1.0,0.9666666666666667,1.0,0.967741935483871
