"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change"
"SAA_15515.2",8.55247347861396e-10,60760.6717711111,6629.19551451852,3.19623211245742,28.9831395858838
"CRP_4337.49",6.19897860922187e-10,58045.7158024815,16790.999053,1.78950151739512,16.4771570852085
"CHKB_13117.232",3.76036682574639e-12,5752.51942381482,2386.55232511111,1.26926598202972,14.5010716436074
"GAGE.2_25413.80",2.42239546953712e-11,4307.33701651852,1952.865247,1.14120380517551,12.1147399487886
"TR.ECD_8795.48",1.21280904807612e-08,10170.0378190741,3738.0339507037,1.44397346658369,11.43079368947
"SAA2_18832.65",0.000295125720004351,10774.379917963,1204.2982099037,3.16134025891032,11.1595087961054
"IGF.I_2952.75",1.02024897860955e-09,28396.5569137037,12866.0510293333,1.14214669754299,10.2693765560977
"IL.1F6_14150.7",1.33441860185872e-05,7757.29368340741,1818.14135807778,2.09308905015804,10.2031977545367
"BLC_13701.2",5.79845716075934e-05,4994.69522640741,968.833827166667,2.36607550501646,10.0243226275436
"Histone.H2A.type.1_22468.54",2.07601416455498e-05,45917.0628366667,10774.9327977037,2.09135148913123,9.79331735950655
"NAB1_13933.276",1.38572763904637e-10,3723.90895062963,1880.4323457037,0.985753397561024,9.71787452475259
"H2B2E_14143.8",6.80993452344132e-05,27343.813621963,5456.99176962963,2.32503669569706,9.68809557893688
"Pregnancy.zone.protein_6580.29",1.09649394473919e-06,31337.7148564074,10199.4582303889,1.6194074605482,9.65165836352308
"H2A3_14144.3",0.000399833459252685,14429.7946091111,2035.75845682222,2.82541246433047,9.601093049091
"PCDGK_7859.21",7.28800349702739e-09,3242.73950611111,1440.78604942963,1.17035701732835,9.52365316009306
"FCN2_3313.21",2.57608703043841e-09,89666.3325155556,41810.3025103704,1.10070790884063,9.45402367273402
"VSIG4_17678.28",6.61797379600718e-07,10701.7397941852,3840.87382707407,1.47833887914549,9.13506241352319
"DNJB9_11214.40",3.21651819459669e-08,19179.9451031481,8303.34794214815,1.20783353195835,9.04983041626896
"FCN2_13717.15",1.65976555370369e-09,30595.3803292593,15007.2156388889,1.02765750171974,9.02278482506846
"MIP.5_18289.16",1.02064635228781e-08,25688.6925096296,11770.4044441481,1.12596956869908,8.99776324564781
"S35G2_13501.10",2.5681805822984e-09,2705.70930044444,1319.43162546667,1.03609025506314,8.90040324669744
"C4b.binding.protein.alpha.chain_9449.150",2.48937178656519e-10,22565.5698348148,12126.8703292222,0.89591593896825,8.60429625762354
"HTRA1_15594.47",8.9329589571978e-09,22902.8930462222,10949.5704117778,1.06465557890454,8.56941771737569
"Lectin..mannose.binding.2_7638.30",2.01593439394251e-07,10080.3599174444,4203.42703692593,1.26190921479048,8.44914293571087
"XPO5_25963.2",3.5357833211778e-05,14477.6521805926,3916.37144018519,1.88623815568804,8.39661623104722
"IGF.II.receptor_3676.15",4.30454779295225e-09,12484.9609047037,6278.97806611111,0.991589625854174,8.29571066632306
"OLFL3_8660.33",9.77675024238589e-07,9725.46448603704,3753.6532717037,1.37347176124376,8.25429811624062
"MIP.5_3509.1",3.64235393512868e-07,15724.6002053333,6520.75761292593,1.26991183880817,8.17647703986738
"FGL1_5581.28",1.57778215246974e-08,75011.8132481481,36286.7975722222,1.04767307666377,8.17389606252482
"SPON2_8099.42",2.12789990822803e-07,12393.1362132963,5310.22650196296,1.2226960187656,8.15788750985868
"Inhibin.bB.chain_13676.46",1.43041655395222e-07,13390.0292384444,5986.64985596296,1.16133831270212,7.94882359954836
"TXN4A_21651.9",4.9212018817906e-07,18420.2137448148,7857.23860096296,1.22919552575337,7.75367788059071
"sperm.egg.fusion.protein.1_21526.88",2.86455539707336e-06,2712.66259259259,1031.12617284815,1.39548873532901,7.7351142025243
"P.Cadherin_2643.57",5.835012083092e-09,35063.7615640741,18397.9609455556,0.930434892996129,7.66116205423367
"Apo.A.V_15363.32",1.25760092714129e-06,26891.7871605926,11031.5723671481,1.28552719851705,7.58519815146152
"PRKRA_22010.36",6.52676688189711e-06,2321.34909462963,842.889197537037,1.46154859931347,7.57857072724883
"H2B3B_18823.52",0.000833082541550617,12035.0613781481,2194.35279854074,2.45537609973309,7.56086900666615
"H2B2E_22974.25",0.000901663618423585,9842.89345640741,1760.65131698889,2.48297325516648,7.56054295418551
"sCD14_16914.104",3.38440271997904e-08,26590.5510281481,13208.5828812963,1.00943798261938,7.54102458329496
"IGF.II.receptor_16057.6",5.08796531176196e-10,8396.08020544444,4814.81757207407,0.802234811324024,7.4555338069837
"Kininostatin_19631.13",0.000306210020724568,19867.8656381111,4574.14674896296,2.11886233877862,7.44564115490327
"alpha.1.antichymotrypsin.complex_4153.11",4.55457157907595e-06,18901.8511936667,7211.52872440741,1.39015051041974,7.42556189012652
"IGFBP.3_2571.12",1.94537953883149e-08,33556.8930040741,17575.3611514074,0.933054809251522,7.19478158120165
"OAF_6414.8",2.60906797177338e-08,10567.5246093333,5484.75111107407,0.946139411963671,7.175062050371
"calgranulin.B_5339.49",0.000299059350855522,16793.039753037,4106.08432092593,2.03202824052194,7.1613605175132
"Coagulation.Factor.IX_4876.32",2.24006050678637e-09,28712.2035803704,16288.979382963,0.817767845666929,7.07347945037701
"C3_2754.50",1.43275884996319e-06,69459.416992963,30019.0745685185,1.21029079944646,7.07272993096897
"RNAS4_5644.60",7.59056215517864e-09,17816.37963,9772.21349766667,0.86644691616835,7.03531160409982
"FTMT_8048.9",2.47594876977273e-05,11076.8077368889,3847.47355966667,1.52555884875446,7.02711817879625
"Coagulation.Factor.IXab_5307.12",4.41917099782101e-09,18060.0166663333,10095.4279841852,0.839097150801345,7.01037072500105
