N_Proteins_included,true positives,true negatives,false positives,false negative,total number of samples,Accuracy,Specificity,Sensitivity,PPV,NPV
10,28.0,29.0,1.0,2.0,60.0,0.95,0.9666666666666667,0.9333333333333333,0.9655172413793104,0.9354838709677419
25,29.0,30.0,0.0,1.0,60.0,0.9833333333333333,1.0,0.9666666666666667,1.0,0.967741935483871
50,30.0,30.0,0.0,0.0,60.0,1.0,1.0,1.0,1.0,1.0
100,28.0,30.0,0.0,2.0,60.0,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9375
150,29.0,30.0,0.0,1.0,60.0,0.9833333333333333,1.0,0.9666666666666667,1.0,0.967741935483871
200,29.0,30.0,0.0,1.0,60.0,0.9833333333333333,1.0,0.9666666666666667,1.0,0.967741935483871
250,28.0,30.0,0.0,2.0,60.0,0.9666666666666667,1.0,0.9333333333333333,1.0,0.9375
7289,28.0,29.0,1.0,2.0,60.0,0.95,0.9666666666666667,0.9333333333333333,0.9655172413793104,0.9354838709677419
