"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change","Absolute_nominal_pvalue_and_fold_change"
"SAA_15515.2",7.56574638405794e-10,63519.7454744444,6791.06193422222,3.22549603675192,29.4202274376114,29.4202274376114
"Cysteine.rich.protein.1_15529.33",1.68155819855075e-17,28265.4482715556,93992.8841922222,-1.73351196314621,-29.0784290897631,29.0784290897631
"CX038_24707.6",1.5368206133456e-11,319.082736618519,1778.35899180741,-2.47854412444105,-26.8014315898246,26.8014315898246
"NEK7_12703.6",2.04861374375613e-14,11831.4597114667,41167.7065855556,-1.79888500192175,-24.624109156717,24.624109156717
"MBNL1_24408.30",1.00598971407036e-11,3918.18390902963,17283.7011099259,-2.14115516693971,-23.5471536642992,23.5471536642992
"PKHF2_20994.37",8.03617103238828e-13,3695.99294234074,12245.6415222963,-1.72823444852975,-20.9029106756294,20.9029106756294
"MBNL2_24446.65",1.17666504675222e-09,1016.03211932333,4453.09222226296,-2.13186147985154,-19.0361312233902,19.0361312233902
"HSP.60_2682.68",4.57245912861725e-12,11965.9983127407,35914.3170777778,-1.58561831779591,-17.9806741471546,17.9806741471546
"UBS3B_12558.3",3.90576877536316e-10,20178.8754112741,72345.6908618519,-1.8420613139766,-17.3306534332246,17.3306534332246
"X6.Phosphogluconate.dehydrogenase_4187.49",5.98622266589967e-10,5342.39026725185,18272.5513163333,-1.77412080988943,-16.3624450250959,16.3624450250959
"UB2Q1_21727.15",1.68303553966913e-11,1650.27748970741,4682.62415644444,-1.50460861685983,-16.2105128779048,16.2105128779048
"RNF31_23183.6",2.16923359255008e-11,1189.71827161481,3396.95055562963,-1.51362023916451,-16.1407825763922,16.1407825763922
"DEST_18883.4",1.61727289062908e-13,2703.14913577778,6355.07275714815,-1.23326753309193,-15.7749922564762,15.7749922564762
"PP1G_19295.32",3.97401160477902e-11,21282.5109877407,60664.9451851852,-1.51119473072808,-15.7175901327607,15.7175901327607
"SRCN1_5488.74",2.41806344072838e-10,43883.249485037,133815.238878889,-1.60850015535145,-15.4681937131312,15.4681937131312
"KS6A6_12688.115",1.08828065558284e-12,1345.52590531481,3210.81783948148,-1.25477065108191,-15.0111463979664,15.0111463979664
"GLRX3_16596.25",1.42659489468537e-11,5663.88283937778,14556.4030454815,-1.36179057507927,-14.7695711338791,14.7695711338791
"ARL8A_23281.29",3.24844550818495e-09,11981.5320577889,39001.7410277778,-1.70272613210874,-14.453291797556,14.453291797556
"CIAO1_21178.8",1.86639274591446e-10,2258.67329218148,6133.01493822222,-1.44112085905673,-14.0206604598943,14.0206604598943
"FAH2A_23389.28",5.35152008793355e-10,765.688930044444,2165.1413373963,-1.49963090034463,-13.9038621441579,13.9038621441579
"CRP_4337.49",8.25827123224228e-09,56804.4187243704,17318.5097528148,1.71368836664338,13.8519330425917,13.8519330425917
"Glutathione.peroxidase_15591.28",1.23830733001921e-11,3578.89555550741,8621.92242825926,-1.26849514103564,-13.8356941216235,13.8356941216235
"KLC1_12656.1",1.17715597465499e-07,1252.15695465185,4837.48393001111,-1.94984145695578,-13.5107751070432,13.5107751070432
"DCTD_17756.69",2.52694608520363e-10,2383.7081276,6088.55255144444,-1.35289169671452,-12.9842482141745,12.9842482141745
"WWP1_11307.33",1.9053827841469e-09,3271.03592592593,9141.15728374074,-1.48262921943764,-12.9285531296101,12.9285531296101
"OSBL1_25266.14",5.74509671517862e-09,701.517201633333,2077.04751030741,-1.5659838315512,-12.9048071196555,12.9048071196555
"H2B2E_14143.8",1.25686970083267e-05,27818.2418521852,4517.28942385185,2.62250198694549,12.8521210387532,12.8521210387532
"SAA2_18832.65",0.000133011919021572,12163.3454325185,1223.7244856,3.31318939992211,12.8422847119876,12.8422847119876
"PYRG1_23705.42",6.72647722910433e-12,11550.4712353704,25618.6986003704,-1.1492454785169,-12.8396144980064,12.8396144980064
"p60.Src_15433.4",6.48014000005387e-09,4378.97530851111,12783.7728808519,-1.54564846230787,-12.6564119983771,12.6564119983771
"SMAD2_10364.6",1.85862278246817e-09,3024.21713994444,8241.69452703704,-1.44637926273847,-12.6280607138168,12.6280607138168
"I5P2_12641.3",1.64320347345006e-08,4261.09755154148,13009.8731272963,-1.61030990753438,-12.5351493516145,12.5351493516145
"M2.PK_4240.31",3.64875847521961e-09,16387.8683953704,45558.5130455556,-1.47509244838489,-12.4466160188311,12.4466160188311
"Histone.H2A.type.1_22468.54",4.10008846422683e-06,47135.8183103704,9606.81629581482,2.29469346909781,12.3619881981442,12.3619881981442
"TTC9A_24474.12",4.05547959163526e-08,774.701728418519,2459.04528805926,-1.66638544163728,-12.3178508293812,12.3178508293812
"AGAP2_14291.53",3.08536867886246e-08,401.82150207037,1220.51726343704,-1.60286602924136,-12.0386345592246,12.0386345592246
"LYNB_3381.24",3.25504873470311e-09,20647.3018934444,54282.903127037,-1.39454461184436,-11.8361172133728,11.8361172133728
"LYN_3453.87",3.3352753022139e-08,6117.69080226296,18166.770493963,-1.57024287675818,-11.740499208135,11.740499208135
"H2A3_14144.3",0.000183007134218101,14682.264773963,1682.77615224074,3.12515934138906,11.6803829801522,11.6803829801522
"RPS6KA3_3469.74",1.91222973346846e-09,1928.94055559259,4864.00845692593,-1.33433705280553,-11.6333641322664,11.6333641322664
"VPS25_18189.12",9.39524976426449e-10,1352.12652264074,3300.18226333333,-1.28731554885993,-11.6207154678803,11.6207154678803
"SYMC_24425.8",4.16501065834526e-09,9755.91300394074,25506.5830441852,-1.38652084473262,-11.6195769404849,11.6195769404849
"AIP_3839.60",4.69591426702296e-10,1616.93969132222,3821.38967085185,-1.2408315081037,-11.5748235425902,11.5748235425902
"ERAB_4217.49",7.82208246370155e-08,4086.77705720741,12578.9102461111,-1.6219714936504,-11.52682849773,11.52682849773
"TACO1_9257.14",3.2473489975695e-08,1466.54997949259,4243.40176959259,-1.53279504247082,-11.4782912774794,11.4782912774794
"ZADH2_17345.12",5.21426205635857e-08,3360.23012328519,9802.72170814815,-1.54462232807686,-11.2491865288135,11.2491865288135
"DUS28_9940.35",1.68321276749079e-08,1330.78117285185,3621.63781892593,-1.44436891607446,-11.2283231621729,11.2283231621729
"UBP4_21763.46",4.86169948700332e-08,1759.60265433333,5026.95837462963,-1.5144360603039,-11.0753918019793,11.0753918019793
"PKC.B.II_5475.10",5.49435472538664e-10,35020.1552676667,80220.9909437037,-1.1957943071898,-11.073154900438,11.073154900438
"ODPX_18319.7",2.41873879435198e-08,1488.75310701111,4045.84255144444,-1.44233565789245,-10.9854212132331,10.9854212132331
"ACADV_19262.219",7.3734125443946e-08,6139.84078184815,17797.3961317407,-1.53539303222188,-10.9509320371997,10.9509320371997
"DEST_22958.6",2.03667067247507e-08,3204.18744852593,8584.36263311111,-1.42175247232216,-10.9348108536173,10.9348108536173
"GSTK1_13474.40",5.81431815225289e-09,4727.28255133333,11818.5131285556,-1.32196554061026,-10.8870488064476,10.8870488064476
"SNX8_6925.26",1.72505125488803e-08,1083.6413991963,2858.81222225926,-1.39952844523522,-10.8648164222345,10.8648164222345
"STAT3_10346.5",6.5549525465739e-10,14686.0654117407,33243.3546088889,-1.17861804190049,-10.8237568125052,10.8237568125052
"AMPD2_18403.25",3.5227057597097e-07,1081.89543206667,3453.19868316667,-1.67437227767711,-10.8049313113761,10.8049313113761
"TR.ECD_8795.48",2.40308722885125e-08,10205.0187241852,3826.40037040741,1.41521908822545,10.7828803910927,10.7828803910927
"PRAF3_13503.19",1.64211082599428e-08,9477.44728414815,24648.0715642963,-1.37890434436784,-10.7342153611459,10.7342153611459
"METAP1_3210.1",3.77626968239876e-07,1357.72471197407,4320.82320984074,-1.67011521015088,-10.727044774392,10.727044774392
"CACP_12637.7",9.36153113321631e-08,1535.85298356296,4420.79785998889,-1.52526664529835,-10.7205701562294,10.7205701562294
