"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change"
"SAA_15515.2",2.78458410747162e-09,62416.803417037,7060.39864207407,3.14411292577049,26.8986395975997
"CRP_4337.49",1.27255950216413e-09,58018.0481483333,17494.8338267778,1.72957279967047,15.3851068057253
"SAA2_18832.65",0.00019909641570743,11952.4809469259,1250.06067904074,3.25724007455147,12.0548388714519
"H2A3_14144.3",0.000115876302108871,15864.6441977037,2045.60098768889,2.95521849836879,11.6317558868669
"H2B2E_14143.8",2.1444977705131e-05,29207.2148151852,5534.87205766667,2.39970291644994,11.2034315758688
"Histone.H2A.type.1_22468.54",7.10993347703325e-06,48857.3514788889,10977.0527565185,2.15408490306181,11.0895187249455
"TR.ECD_8795.48",3.02599325617274e-08,10205.1006998148,3818.86213996296,1.41807567331633,10.6626982363256
"IL.1F6_14150.7",1.37723834733606e-05,7810.97911551852,1893.63489717778,2.04434520485636,9.93754342389027
"H2B3B_18823.52",0.00029587672185839,12973.9030652593,2206.34901253333,2.55587963724502,9.01941605265031
"XPO5_25963.2",8.76306087328261e-06,13624.9316047037,4024.34962948148,1.75942143288552,8.89799972870313
"VSIG4_17678.28",6.40923233202341e-07,10492.200329,3911.17728388889,1.42364242212477,8.81689368568629
"H2B2E_22974.25",0.000372299855256358,10453.4097937037,1768.58905362593,2.56330284132153,8.78984005626034
"C3b_4480.59",0.00201394502341713,21120.7245695963,2568.64823047778,3.03957809313751,8.19455782166192
"calgranulin.B_5339.49",0.00013470006445539,18424.373498037,4254.38981474074,2.1145914292579,8.1848056684493
"H2A1A_22402.12",0.000541159076844647,7606.93619359259,1421.20211933704,2.42020375871144,7.90601924114956
"BLC_13701.2",0.00114968881107754,6405.77102881481,994.290864222222,2.68763237411337,7.90007953400524
"S35G2_13501.10",1.06899094359706e-07,2821.7062962963,1295.95343617037,1.12255394668925,7.82535271967968
"iC3b_2683.1",0.000112504049398961,29178.445968037,7555.02658444444,1.94939431092875,7.697830334535
"Lectin..mannose.binding.2_7638.30",1.87160557155661e-06,10438.4548558519,4187.202469,1.31784958860014,7.54835998963314
"OLFL3_8660.33",4.11673715874077e-06,9882.85053537037,3783.2394857037,1.3853051175746,7.46048709629196
"DNJB9_11214.40",2.90078163874192e-07,18780.9300002963,8720.10074051852,1.10685179740739,7.23602698095776
"PRKRA_22010.36",1.25041839523263e-05,2285.18858022222,828.848703696296,1.46313254112984,7.17365785880672
"sperm.egg.fusion.protein.1_21526.88",4.79923902767608e-06,2686.41687244444,1054.94884775185,1.34851014909501,7.1724930259798
"alpha.1.antichymotrypsin.complex_4153.11",5.59088498039373e-06,19165.1432511852,7469.36074085185,1.35942810017049,7.14042252650016
"TXN4A_21651.9",1.68711608864555e-06,19171.6561731111,8186.33724288889,1.22768496570208,7.08724733324813
"FTMT_8048.9",2.18791447035511e-05,11446.295308963,4078.51934155556,1.48876333442104,6.9375919684078
"IGF.I_2952.75",1.38484601448168e-07,27410.443662963,13794.4656382963,0.990636108162358,6.79437533987862
"BSP_14023.84",1.18089332060317e-05,4321.18226344444,1696.44798351852,1.34890888892724,6.64713883519976
"C3_2754.50",2.3988007033346e-06,70794.1434133333,31422.0091566667,1.17185458438504,6.5858295990834
"CTLA.4_3022.4",0.0960996916800566,6930.74345715778,81.964444442963,6.4018680923489,6.51247960568237
"GPDA_11081.1",5.95633172169096e-05,1850.82679016667,640.424197537037,1.53107016252713,6.46880377807949
"Pregnancy.zone.protein_6580.29",1.96094952441595e-05,31916.3461732593,12389.6715224074,1.36515756037265,6.42652506439778
"Kininostatin_19631.13",0.00068551996698496,19146.7841978519,4863.10098762963,1.97715364820249,6.25567438451413
"Holo.TC.I_19614.8",5.8653781181375e-05,17581.6362548889,6337.19800436296,1.47215234473828,6.22971294429809
"Inhibin.bB.chain_13676.46",1.26061460879216e-06,12975.6716666296,6264.96335392593,1.05043124368002,6.19693263410338
"Calgranulin.A_25216.8",5.04525163952833e-07,4316.48983533333,2185.23115225926,0.982072696077337,6.18422683449145
"GAGE.2_25413.80",1.20855324914121e-05,4670.71399188889,1958.0570782963,1.25422028455513,6.16792199987834
"FGL1_5581.28",4.3754722698864e-07,75633.4158818518,38883.2330862963,0.959875595776436,6.10382497828659
"IGF.II.receptor_3676.15",1.87414988467762e-07,12545.5297936667,6711.87378607407,0.902385904698539,6.07052655929774
"Apo.A.V_15363.32",6.07024143612131e-06,25337.6407407407,11375.8801245185,1.15530402984525,6.0269831715906
"HTRA1_15594.47",3.09372479994751e-07,22204.862635037,11716.830494,0.922293285650857,6.00368504052865
"C4b.binding.protein.alpha.chain_9449.150",4.05022873875916e-08,22047.0994644074,12604.8088885185,0.806614621530667,5.96291508419853
"H2B1K_22403.13",0.0020461340419862,2874.91950611852,633.535864214815,2.18202336591433,5.86760466799176
"OAF_6414.8",2.85404379808409e-07,10440.9931278889,5674.249465,0.879757460561472,5.75760733361493
"P.Cadherin_2643.57",2.22101794687526e-07,34341.2069966667,19161.6191762963,0.841721271474516,5.60034865312412
"SPON2_8099.42",4.76500743305803e-06,11633.504196963,5689.97102874074,1.03179251303759,5.4911341504984
"MIP.5_18289.16",1.83673600190245e-06,24983.230122963,12902.5482713333,0.953303989344245,5.46810712669689
"CHKB_13117.232",0.000190630703158025,6548.31144033333,2378.11236622222,1.46130605431658,5.43577670946527
"TMPS6_11239.49",0.000189167091906802,1815.16596707778,663.818395059259,1.45124095141033,5.40319415195523
"HCC.4_4913.78",2.69574284299762e-06,23262.971769963,11878.5282304074,0.969679313370324,5.4004558860093
"Myeloperoxidase_2580.83",1.17808940042082e-05,17329.4231686667,8133.08524707407,1.0913489926826,5.37906465356105
"LBP_3074.6",5.19565773978718e-08,53703.7648148148,32289.4350218519,0.733961031642879,5.34643598815086
"DPYS_20165.4",8.26676141763298e-07,5476.67835407407,2990.47409466667,0.872926933070973,5.30972175079125
"T.plastin_25960.15",0.00036006499226917,13958.6963794815,4842.67329218519,1.5272886318532,5.25940030593057
"sCD14_16914.104",1.37328750188666e-06,25933.1415633333,13941.1654324074,0.895445815630471,5.24931696405009
"IGF.II.receptor_16057.6",5.70046864381023e-08,8363.26349748148,5070.129033,0.722043554234186,5.2305480856388
"FCN2_13717.15",9.71948658171289e-07,29636.4865018889,16262.1079021852,0.86586014942155,5.2058600493951
"BN3D2_21115.48",1.53170124941778e-05,28907.4467482593,13749.4908845556,1.07206298873922,5.16179668040483
"NAB1_13933.276",2.64544164948083e-05,4065.16936211111,1870.37283951852,1.11998957362271,5.1267543040922
"FCN1_3613.62",3.55373768158683e-05,14496.6514403333,6523.47726340741,1.15200660641988,5.12563985091697
"Coagulation.Factor.IXab_5307.12",1.83967519502466e-07,17543.9328389259,10452.9846097407,0.747057264691272,5.03162405148848
"FCN2_3313.21",3.62561540436393e-06,87482.7890595556,46146.8809881482,0.922766074868196,5.0204179627271
"S100A12_5852.6",0.000148956957942938,6209.12380659259,2521.69971192593,1.29999321110833,4.97499498660871
"WISP.1_3057.55",1.63276111742793e-07,4250.87716040741,2575.29767488889,0.723021368401195,4.90720195337241
"Coagulation.Factor.IX_4876.32",1.50555251803229e-07,27866.4786007407,16947.9250211111,0.717422053886973,4.89447141280326
"MIS_4923.79",3.86532221257157e-08,4576.49096714815,2900.70820985185,0.657836654913591,4.87642096098011
"MMP.9_2579.17",0.000155371122190321,38392.0671188148,15828.046542963,1.27832502762795,4.86866666327701
"EF2K_12332.7",0.00187693272417308,5973.52892988889,1737.960535,1.78118814946853,4.85650085331237
"HNP.3_20539.4",0.000316891898065828,9561.80658462963,3663.19596703704,1.38418034147148,4.84337001891318
"C8_2429.27",2.34340173118564e-05,10416.3031895556,5101.19921807407,1.02993499827594,4.76875688324229
"PSB10_21861.8",3.33372917029596e-06,15081.4270364444,8256.70928007407,0.869134132189783,4.76030820747552
"RNAS4_5644.60",4.28155216079566e-07,17443.005597037,10395.7537446296,0.746654287054266,4.75499223637586
"C2_3186.2",1.85702960071642e-07,10770.518148037,6605.00763377778,0.705455522728692,4.7485489334243
"Thrombin_4157.2",0.0119676611027756,9529.77156344444,1729.11452671481,2.4624082038874,4.7327257106848
"MUSK_11547.84",8.24883605411443e-05,7087.02481492593,3178.941646,1.15663356658553,4.72323730823539
"ZAP70_4476.22",3.63339162759363e-05,28691.2267072222,13807.5613992222,1.05515110977259,4.68454149748849
"POP7_20398.60",2.38846064294936e-05,23882.9579422593,11834.2531276296,1.01301286882117,4.68202585363534
"MIP.5_3509.1",3.00942896860656e-05,15044.6468723704,7339.77141951852,1.03544320473543,4.68177291670715
"IGFBP.3_2571.12",1.26790295814096e-06,32281.83,18624.1167480741,0.793550357633128,4.67949820165389
"Apo.L1_11510.51",2.49229625691606e-07,4852.08156381482,2970.56220162963,0.707867804518224,4.67433449732646
"Angiotensinogen_3484.60",1.20644438869478e-06,16324.0130038148,9465.69123414815,0.786215996963665,4.65321363251104
"C5a_2851.63",4.73907660291036e-05,14732.5213991481,7009.0295677037,1.07171774629259,4.63443577131822
"Macrophage.mannose.receptor_2637.77",7.5391865896183e-06,7343.70878611111,3923.12913577778,0.904504025283842,4.63348061727112
"MMP19_6425.87",1.76418702893783e-06,8890.36144048148,5092.14699596296,0.803968007085761,4.62559405199014
"HCC.1_2900.53",5.75730603987748e-06,6836.07736614815,3712.6306172963,0.880726941044314,4.61481601376762
"Endothelial.lipase_23148.100",3.50815181129212e-07,2048.91121397778,1248.60569951111,0.714539512617444,4.6122965492661
"H1X_12709.63",0.00726809682985083,11867.7966047222,2685.32201618519,2.14388509904299,4.58486828452892
"HN1_19335.2",0.00108283721676218,5483.74230414815,1889.40604951852,1.53722799402674,4.55855250357602
"MATN3_19361.78",4.25217117772216e-06,6177.12604922222,3442.42950625926,0.843508659051375,4.53081335245275
"B4GT1_13381.49",1.3786197316174e-06,26551.0920996296,15543.8799588148,0.772424538653323,4.52683688600136
"X7B2_15358.28",5.7067649658018e-05,14784.027448963,7063.65765411111,1.0655520120584,4.52178718836496
"Prokineticin.2_10754.113",0.00063242911823695,4188.18742782963,1581.38748968889,1.4051350898469,4.49501049108325
"protein.Z.inhibitor_13119.26",2.57664238554116e-05,12186.8052675926,6186.38349785185,0.978151802688865,4.48868565892429
"TNF.sR.I_2654.19",1.21837650429827e-05,15209.6438692222,8102.83045303704,0.908488514590197,4.46451105155014
"EFMT1_23259.23",0.000235042665244511,1878.1319136,801.629403325926,1.22829106466749,4.45728807955162
"ARL5B_17404.5",4.08514583670617e-06,12409.9573252222,6998.79802462963,0.826319074778051,4.45286197894511
"TR.CD_6895.1",0.00172539855655945,4912.73069940741,1613.3398147037,1.60647481458976,4.43886754002408
"C3d_5803.24",0.00835746752854253,13352.5514815556,3058.11106988889,2.12640273552308,4.41850604661141
"IL.1.R4_4234.8",0.000112875665045864,5127.36096703704,2373.26788066667,1.1113415145304,4.38690913646681
"Cathepsin.S_3181.50",1.71829588481928e-05,21071.8485594074,11134.4118931111,0.920291523647915,4.38509896763148
"LIRA5_8766.29",2.36052642151647e-05,8895.0779017037,4624.11604937037,0.943829635481213,4.36709135549208
"Apo.L1_11510.31",9.62667177346675e-08,53121.9019966667,34528.5562133333,0.621516792208158,4.36088738665196
"FCRL6_6617.12",3.13323648956634e-08,1933.69146092593,1294.21339511111,0.57928210299989,4.34693685411826
"GRIA4_10760.107",0.000240992699472917,4953.02802474074,2173.11623455556,1.18854544117736,4.30015278696002
"Activated.Protein.C_3758.63",1.05147823018435e-06,29419.7484362963,17926.5758844444,0.714684961847949,4.27252943489245
"PSMA_3218.8",4.43118360988777e-05,10029.8760077407,5104.1139917037,0.97457131632762,4.24277698197295
"Vitronectin_8280.238",7.70883975586892e-07,2840.93448562963,1757.33602881481,0.692975479636502,4.23616671723408
"DNM1L_21452.3",7.7594337033031e-05,10637.0690944815,5217.24897133333,1.02773950311729,4.2241840459192
"FABP_5437.63",4.49072765294624e-05,23717.4965432963,12125.7218717037,0.967881100138197,4.20804047860798
"SIG12.Ig.like.C2.type.2_8352.26",1.78992606258628e-05,2678.53818922222,1449.22707818519,0.886162198116788,4.20675808994367
"IL.18.Ra_3446.7",1.1172804608206e-05,7961.60353874074,4423.20574074074,0.847966682591923,4.19899346875915
"CN093_6439.59",2.40721748807435e-06,9941.08749033333,5924.87432096296,0.746619130135971,4.19486813712624
"FCN1_22961.7",4.94244477579247e-05,4450.5627777037,2268.30251032963,0.972374720743496,4.18710211499213
"ITPK1_21130.82",0.000110009645750904,9260.18539103704,4451.29465022222,1.05681607475717,4.18347959933691
"CREB.binding.protein_13614.6",1.65879113075829e-06,5740.47413585185,3480.67176944444,0.721804128564649,4.17217821157763
"CXCL16..soluble_2436.49",3.95261441660876e-06,6949.28895048148,4076.18267485185,0.7696466616021,4.15848984504678
"PRL_2585.2",2.29540110613957e-05,9326.18563774074,5021.82300407407,0.893075965601749,4.14310569734524
"PUF60_10575.31",1.4835555652178e-05,5825.67135803704,3217.2195472963,0.856609926664989,4.13630908315542
"Activin.A_19622.7",0.000100663670708759,12380.8030045926,6044.24218096296,1.03447151637974,4.1349142740918
"Ceruloplasmin_17453.34",1.59577027142943e-05,7303.28353874074,4024.15847737037,0.859858120326594,4.12476488073608
"Apo.C.III_6461.54",0.00249076291306154,14788.5874488889,4933.96602874074,1.58366457056423,4.12333614662181
"annexin.I_4960.72",0.00196987302745507,29018.5273675185,10117.9265844815,1.52006063123879,4.11261792641733
"Apo.F_12370.30",2.05388017907193e-05,10918.4587650741,5963.32905355556,0.872579370470129,4.09015026507274
"L.plastin_9749.190",8.69554598400413e-06,12115.6407410741,6930.44921807407,0.805849931220533,4.07816728045588
"DMP4_21547.6",1.60886851043636e-07,4851.00341559259,3202.6572427037,0.59901379020139,4.0693878730765
"PRRP_6543.182",1.66620992631337e-08,1221.63748966667,851.299567925926,0.521077438106553,4.05308115174894
"TNF.sR.II_8368.102",1.81755430941574e-05,9486.82516422222,5246.04820988889,0.854694293840211,4.05168907195448
"KIF3A_13961.18",9.7195863325884e-06,9881.86325125926,5646.06960896296,0.807536175876908,4.04765574254218
"SAA_4336.2",0.018008777783154,4244.2564609963,858.575905366667,2.30549424293251,4.02197104324938
"BLC_3487.32",0.00881929680772813,1627.37495884815,420.241193407407,1.95325720487164,4.01309592295847
"IZUM4_20549.1",1.16330117153512e-05,1176.44283948889,670.560967088889,0.810990812841003,4.00167832153975
"TCTP_14072.9",7.52819290929722e-05,3937.97170785185,2020.5683127037,0.96269161838135,3.96947526525024
"TAFI_3518.54",9.18389783543976e-07,34422.9197122222,21863.0083537037,0.65487754053782,3.95347800181506
"Lymphotoxin.b.R_2636.10",8.58000359790695e-05,18298.9045268519,9359.16150159259,0.967306095481441,3.9335623576553
"Apo.E_2418.55",3.68282506696157e-05,12082.9132097778,6537.55779825926,0.886144631361082,3.92900482308704
"CRLD2_5691.2",0.000906794231959823,2657.61185184074,1096.91989718519,1.2766722357781,3.88426410780897
"IFN.a.b.R1_6055.53",3.59643476624065e-05,15412.3367904074,8413.30263374074,0.873341471920024,3.88124112536279
"NIF3L_23371.5",0.000136096402303686,35181.5834976296,17557.2200407037,1.00275598812388,3.876808427913
"Renin_3396.54",0.000517837917639347,23320.9538689259,10378.3706173333,1.16804683722116,3.83797548402965
"GBP2_18891.98",0.000297082363737955,4420.43098792593,2083.88864203704,1.08490885235754,3.82660710630607
"G3ST1_8696.15",0.000122702309904624,14518.9777775926,7383.56094611111,0.975551209941144,3.81552444319808
"X5..Nucleotidase_15452.5",1.33347378798015e-05,11860.0372424444,6902.80942348148,0.780852980951993,3.80667039847473
"LRFN1_7910.41",5.43567781454616e-07,2278.21360088889,1499.37483540741,0.603541923528472,3.78103702799592
"Ck.b.8.1_3028.36",1.82785628174283e-05,36513.1178181481,21006.8613174074,0.797554242512544,3.77885822279389
"Holo.TC.II_5584.21",2.20368115515158e-06,8154.76724262963,5135.07337451852,0.667258808207544,3.77458381808089
"FCGBP_25910.1",2.22344745720227e-05,9799.01851851852,5598.03740740741,0.807716127021626,3.75828143489681
"MNDA_20076.7",0.00394067274308096,58246.3446089259,19759.0658023704,1.5596527740536,3.75007534250161
"PCDGK_7859.21",0.00266443333894994,3909.33551425926,1426.45456794815,1.45448960924985,3.74443098244685
"IL.10.Ra_10344.334",7.82487857393118e-06,4401.39255144444,2648.91905355556,0.73255629048758,3.74081510157301
"C9_13722.105",7.2787005288065e-07,72049.2100825926,47224.3058433333,0.609453022988037,3.74078983523018
"LIRB5_7015.8",4.77478747294432e-05,15510.8167901111,8513.51144077778,0.865448453185184,3.73964253721532
"MLF1_17820.170",3.17624696681277e-05,4779.63275703704,2690.35847737037,0.829101355238679,3.72936898025703
"FGFR.3.ECD_13669.6",2.50820630502018e-05,10689.2560497407,6102.05160492593,0.808795162018303,3.72097274137873
"ASNS_23694.3",7.1741393856459e-05,5829.24362092593,3139.42183137037,0.892809806274562,3.70000935283527
"SIRT2_5030.52",0.00118315782681987,16315.7569547037,6798.0933332963,1.26306384713589,3.69693397172059
"RGS8_11666.72",2.03574632187249e-05,5099.25092592593,2956.99781888889,0.786152153100443,3.68805699642756
"Galectin.3_3066.12",5.68602259718958e-06,9079.472387,5577.47983548148,0.702995071533639,3.68734371658567
"MZF1_14662.6",4.90584760545632e-06,3724.66967085185,2302.06609055556,0.694183230462265,3.68561726998459
"Cadherin.E_2501.51",7.48658385702899e-06,27302.6901237037,16685.7572018519,0.710425948647647,3.6414418695652
"X5HT7R_13547.5",0.0117410402836571,5023.7551232963,1371.7689917037,1.87272859396725,3.61491568589362
"AMPB_12386.11",0.000886888499547962,12748.8263789259,5614.90555533333,1.18303078144229,3.61076489436459
"BTLA_16308.14",2.15468686035621e-08,1829.03676947407,1321.32187233333,0.469102130070921,3.59642581944708
"C3a_4900.8",4.58552767050898e-07,152403.626378519,102874.122715926,0.567017103778641,3.59410067062802
"Elastase_13671.40",0.00022861091058349,56856.1790918519,28750.7135807407,0.983719385187124,3.58162690642814
"IL.18.Ra_14079.14",1.35594073721123e-05,3369.37333333333,2023.62261314815,0.735540024954812,3.58043179062811
"kallikrein.12_3199.54",0.000165254411055499,17976.6700616296,9334.81534985185,0.945432415406579,3.5754806864982
"SLIK1_10743.13",8.68914634380761e-06,4535.68732503704,2779.66958844815,0.70640778517067,3.5751459691992
"RAD51_2871.73",0.000106448066235088,6603.59987692593,3541.57283951852,0.898862493115303,3.57105684316916
"complement.factor.H.related.5_7885.17",6.7316606954962e-05,16142.639177037,8926.46860085185,0.85471501670944,3.56576658853203
"MOS1_7956.11",0.00128493823097317,3981.93360088889,1696.30637859259,1.23107239820158,3.55917526081624
"Leptin_2575.5",0.0013842869028886,14961.2162755296,6319.21781874074,1.24340956381508,3.55462679568683
"VEGF.D_13098.93",0.000121806830087888,15587.3758238519,8329.66551466667,0.904047597805355,3.53873914977439
"CD2_7100.31",0.0044407946972608,3307.01117304815,1168.14469134444,1.50130893621959,3.53188828030173
"LKHA4_3204.2",0.000867418690132993,4238.76034992593,1907.78323044444,1.15174514575132,3.52638014511771
"Protein.S_2700.56",3.53754394056974e-07,9156.26213959259,6269.53456785185,0.546400421695963,3.52499203345588
"HBD.2_13397.88",0.00556531642378053,11602.4339500148,3945.78845677037,1.55604196771182,3.50811239169035
"ATF6A_11277.23",1.08819683784514e-05,13973.8867488148,8564.10123466667,0.706359598356798,3.50586932538551
"ALT_16015.19",0.000145927910502327,10186.4775718519,5408.74522622222,0.913289414262748,3.50325182675074
"Macrophage.scavenger.receptor.ECD_15533.97",5.58535673480382e-05,11281.1101848519,6375.97152277778,0.823191960826536,3.5009934952793
"LRA25_24638.3",1.71524021500326e-06,2371.47860077778,1558.09397118519,0.606004602893563,3.4940256188043
"PAF_19158.1",0.00167494879944038,7420.01485603704,3105.84555559259,1.25643598475064,3.48786436394026
"MAK16_21864.20",3.89918721630492e-05,17126.873457037,9908.65806644444,0.789500217781927,3.48092691774188
"Apo.A.I_2750.3",1.0126567016644e-05,20725.3146920741,12785.1887654444,0.696920546450683,3.48079598415027
"FR1OP_21793.4",3.82108941259234e-06,5576.11742788889,3575.17000003704,0.641249099397723,3.47416757857983
"IL.1.sRII_14133.93",1.58091203543179e-05,9647.56903303704,5848.3903087037,0.722125865189754,3.46699292684905
"Carbonic.Anhydrase.IV_3177.49",0.000240989196640135,10019.4771596296,5178.78440333333,0.952121822848448,3.44477906498512
"sTREM.1_9266.1",2.07410546859223e-05,2025.35786008519,1217.08189294815,0.734750595083447,3.44096132971557
"Hexosaminidase.B_6075.61",5.01214561423678e-06,13708.91967,8744.11757196296,0.648730179670308,3.43825459048516
"IL.2_3070.1",0.00635380375442274,2874.89654352222,972.376584351852,1.56392298235682,3.4358859364227
"CST8_10572.65",6.92473445316148e-05,10570.2353503704,5981.76539081481,0.821364266108516,3.41654423543569
"GPD1L_12420.10",0.000198531524054144,9607.3807407037,5103.56222225926,0.912638581116671,3.37874365360207
"NPS.PLA2_2692.74",0.00014871105999341,2501.12543208148,1357.26218102222,0.881877979177353,3.37552618271485
"a2.Macroglobulin_3708.62",0.000198027450044213,25046.9939514815,13341.8343626296,0.908680431199804,3.36509316474729
"protein.Z.inhibitor_6583.67",2.21629254208774e-05,30723.0570367407,18614.9415854074,0.722860686755483,3.36446320172366
"IGFALS_6605.17",3.83983737438481e-06,40258.1047325926,26248.3434985185,0.617052875893915,3.34176534231155
"IKB.epsilon_20071.53",0.0180917899977728,2280.22471193222,603.938456803704,1.91670255925941,3.33988959569644
