"Protein","Nominal_pvalue","Active_mean","Control_mean","the_log(fold_change)","Nominal_pvalue_and_fold_change"
"SAA_15515.2",3.26171864396202e-09,58137.3801240741,6421.14905359259,3.1785626666374,26.9750421360671
"CRP_4337.49",2.17770985212239e-08,54727.2279014074,17022.5347732222,1.68481290126083,12.9090364226582
"TR.ECD_8795.48",3.0727575538387e-09,9699.57271611111,3686.05946507407,1.39584185002431,11.8820642530099
"SAA2_18832.65",0.000163131427436489,10024.4988893704,1186.24368315926,3.07905781026735,11.6618155718067
"VSIG4_17678.28",1.32258748553261e-07,10947.1583126667,3858.53975303704,1.50442954602368,10.3483323535892
"IL.1F6_14150.7",5.79096810115833e-06,7129.73094674074,1820.39102885185,1.96959925336828,10.3152813799899
"Histone.H2A.type.1_22468.54",9.1925888396751e-06,42672.9501633333,10445.6971187778,2.03041307630862,10.2263016780339
"H2B2E_14143.8",4.89156286878217e-05,24987.0795477778,5332.64415648148,2.22825932491404,9.60502849244732
"XPO5_25963.2",1.78982299162741e-05,15193.6806993704,3896.55395048148,1.96320071122123,9.31968662209875
"SPON2_8099.42",7.43150502523258e-08,12687.3152255926,5247.820247,1.2735966020124,9.07937239434661
"alpha.1.antichymotrypsin.complex_4153.11",1.22600797451882e-07,17238.8753503704,6982.3015227037,1.30389109281079,9.01185203049639
"H2A3_14144.3",0.000488367098460745,12837.1532099259,2006.75150212593,2.67739142066802,8.86552198667165
"OLFL3_8660.33",5.2920336149683e-07,9489.98555592592,3726.86718118519,1.34844248648068,8.46333395522157
"IGF.I_2952.75",1.36945884776329e-08,27763.5202881481,13172.5781482963,1.07565276794485,8.45834284855245
"DNJB9_11214.40",9.79400602678892e-08,19043.6067080741,8434.13316840741,1.17499503357911,8.23558675901933
"sperm.egg.fusion.protein.1_21526.88",1.62491663093607e-06,2723.69353907407,1017.41353912593,1.42065818728372,8.22443021853537
"Lectin..mannose.binding.2_7638.30",1.02527124151316e-06,10325.8055143704,4078.96242788889,1.33998020707339,8.02535749747726
"HTRA1_15594.47",3.47372476600985e-08,23060.1170376296,11099.5090946296,1.05490396420372,7.86874449709837
"BLC_13701.2",0.00163740970664753,5936.11962962963,857.873045277778,2.79068409923819,7.77440675680685
"NIF3L_23371.5",9.93095457917815e-07,37775.4474893704,15489.1874894815,1.28618737851316,7.72099441458657
"Apo.A.V_15363.32",1.59830784915624e-06,26146.1430037037,10664.6819351111,1.29375720116816,7.49905605619846
"TXN4A_21651.9",1.07509941672999e-06,18453.3269138519,7810.56016477778,1.24038301468293,7.40328974627049
"H2B2E_22974.25",0.000569373626813037,8370.12522585185,1724.99773674074,2.27865473814386,7.39332920886103
"S35G2_13501.10",1.20295719689764e-07,2747.65913581481,1312.19043203704,1.066225933266,7.37801671540887
"C4b.binding.protein.alpha.chain_9449.150",4.2726507184791e-09,22278.5112336667,12167.7262139259,0.872593231039558,7.30299680472105
"Inhibin.bB.chain_13676.46",3.42209104466835e-07,13540.1022016667,6209.01240744444,1.12480290877631,7.2726476608867
"calgranulin.B_5339.49",0.000219335564109034,15299.8659262963,3872.06965014815,1.98234220162618,7.25317392952825
"FABP_5437.63",9.240227027714e-07,26233.5987655185,11511.0532298519,1.18839589015326,7.1711579484279
"Renin_3396.54",1.36811873454608e-05,25854.3988483704,9331.27436225926,1.47026373351602,7.15118079585075
"GPDA_11081.1",3.64852323502839e-05,1836.62528812222,601.981810707407,1.60926551427406,7.1417318810749
"B4GT1_13381.49",2.28258758836502e-08,27566.4448151852,14448.7746091852,0.931966074161245,7.12168636849248
"H2B3B_18823.52",0.000744612739802067,10406.5115427778,2150.34923885185,2.27484363884674,7.11586908943386
"IGF.II.receptor_3676.15",3.4039320466443e-08,12464.2250611852,6444.15390940741,0.951730332597174,7.1075403194025
"H2A1A_22402.12",0.00041148990246413,5937.73230466667,1392.39806585556,2.09234033750023,7.08391285065375
"OAF_6414.8",5.06833048921495e-08,10855.6509052963,5542.15366251852,0.969927615754777,7.0757529688814
"DPYS_20165.4",6.86216775674749e-08,5680.64753103704,2880.88709877778,0.979542267634595,7.01698891223958
"P.Cadherin_2643.57",2.12106554688925e-08,35395.1566259259,18808.8083533333,0.912143510774902,6.99928389241294
"MUSK_11547.84",7.45989134556685e-06,7146.21366266667,2777.94792174074,1.36315949597546,6.98928337836683
"FGL1_5581.28",1.03448674203556e-07,74271.3562522222,37179.7709466667,0.998288040997869,6.97331656633331
"RNAS4_5644.60",1.54476241378424e-08,18181.6112759259,9818.04588433333,0.888972244317951,6.94388515064118
"FTMT_8048.9",1.84950997222124e-05,10929.951029037,3956.24829218519,1.46608206024139,6.93888329755772
"MIP.5_18289.16",2.53327953985799e-07,26070.8161311111,12709.0706992593,1.03657720346834,6.83759170928617
"HCC.4_4913.78",4.32209822851172e-07,23622.7965436667,11321.6234977407,1.06109891325397,6.75315750865825
"C5a_2851.63",1.6721441798794e-07,13350.2245676296,6732.79174877778,0.987587263274727,6.69260855928276
"IGF.II.receptor_16057.6",5.16663736132206e-09,8515.78419696296,4873.6903087037,0.805124810053214,6.67190185095284
"FABPA_9851.9",8.14395867557328e-07,26928.3926339259,12623.4823456667,1.09301816667328,6.65556735137917
